Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"October 13, 2009",446866,"$12,500",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,167 / month",10.39%, 4 months,"Langhorne, PA",__,__,__,N/a,__,679-713,0,03/2001,$0.00,21,0,36,n/a,"$12,343.00",0,67.80%,n/a,0,N/a
"October 13, 2009",446882,"$18,000",13.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,250 / month",24.40%, 2 years 3 months,"NATICK, MA",__,__,__,N/a,__,679-713,0,04/1998,$0.00,13,0,37,72,"$19,525.00",0,59.00%,n/a,1,N/a
"October 13, 2009",447032,"$20,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,250 / month",8.02%, 2 years 3 months,"s bound brook, NJ",__,__,__,N/a,__,679-713,0,03/2000,$0.00,7,0,20,n/a,"$15,278.00",0,76.40%,n/a,3,N/a
"October 13, 2009",447035,"$10,000",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,000 / month",14.83%, 2 years 6 months,"BURNSVILLE, MN",__,__,__,N/a,__,660-678,0,11/2004,$0.00,7,0,9,n/a,"$6,922.00",0,74.40%,n/a,2,N/a
"October 13, 2009",447062,"$15,000",13.22%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$8,500 / month",6.64%,n/a,"Jersey City, NJ",__,__,__,N/a,__,679-713,0,01/1996,$0.00,8,0,20,37,"$9,271.00",0,47.10%,n/a,1,N/a
"October 13, 2009",447064,"$19,200",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,667 / month",10.93%, 9 years 2 months,"APO  AE, NY",__,__,__,N/a,__,714-749,0,08/2002,$0.00,4,1,15,13,$222.00,0,2.80%,n/a,0,N/a
"October 13, 2009",447196,"$15,000",16.35%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$17,500 / month",19.33%,6 years ,"Orland Park, IL",__,__,__,N/a,__,660-678,0,03/1993,$0.00,6,0,26,n/a,"$26,388.00",1,94.20%,78,1,N/a
"October 13, 2009",447250,"$24,250",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$11,250 / month",14.84%, 1 year 120 months,"SPRING, TX",__,__,__,N/a,__,714-749,0,12/1988,$0.00,16,0,30,n/a,"$28,007.00",0,22.90%,n/a,2,N/a
"October 13, 2009",447279,"$6,000",16.00%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,167 / month",13.75%, 1 year 1 month,"New Orleans, LA",__,__,__,N/a,__,660-678,0,12/1998,$0.00,20,0,35,35,"$10,361.00",0,90.90%,n/a,4,N/a
"October 13, 2009",447285,"$15,000",14.61%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,583 / month",6.74%,3 years ,"San Francisco, CA",__,__,__,N/a,__,679-713,0,06/1995,$0.00,4,3,13,21,$306.00,0,38.20%,n/a,1,N/a
"October 13, 2009",447294,"$12,000",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,708 / month",13.10%, 4 years 11 months,"CHICAGO, IL",__,__,__,N/a,__,660-678,0,09/1998,$0.00,6,1,21,18,"$14,606.00",0,92.40%,n/a,1,N/a
"October 13, 2009",447369,"$5,000",15.65%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,167 / month",8.14%,n/a,"ridgeland, MO",__,__,__,N/a,__,660-678,0,02/2006,$0.00,7,0,13,n/a,"$20,111.00",0,50.80%,n/a,3,N/a
"October 13, 2009",447423,"$10,000",18.09%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,525 / month",21.69%,2 years ,"COLONIAL HEIGHTS, VA",__,__,__,N/a,__,660-678,0,08/2000,$0.00,7,0,16,n/a,"$67,776.00",0,98.20%,n/a,2,N/a
"October 13, 2009",447457,"$22,750",14.96%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$5,000 / month",7.30%, 3 years 9 months,"Bend, OR",__,__,__,N/a,__,780+,0,02/1997,$0.00,7,0,20,n/a,"$2,247.00",0,18.60%,n/a,0,N/a
"October 13, 2009",447475,"$25,000",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,667 / month",12.36%, 4 years 4 months,"Orlando, FL",__,__,__,N/a,__,714-749,0,02/1996,$0.00,11,0,29,n/a,"$47,256.00",0,31.60%,n/a,1,N/a
"October 13, 2009",447490,"$10,000",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,767 / month",18.22%, 4 years 2 months,"FRAMINGHAM, MA",__,__,__,N/a,__,679-713,0,10/1993,$0.00,13,0,35,n/a,"$17,604.00",0,72.10%,n/a,0,N/a
"October 13, 2009",447515,"$25,000",14.61%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$10,000 / month",0.24%, 5 years 2 months,"Homestead, FL",__,__,__,N/a,__,714-749,0,05/2004,$0.00,7,0,10,n/a,$402.00,1,2.70%,107,6,N/a
"October 13, 2009",447541,"$16,000",13.22%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,000 / month",11.76%, 9 months,"San Diego, CA",__,__,__,N/a,__,679-713,0,04/1998,$0.00,5,1,13,10,"$8,834.00",0,70.70%,n/a,0,N/a
"October 13, 2009",447571,"$15,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$2,917 / month",14.50%,  0 year 3 months,"Sauk City, WI",__,__,__,N/a,__,679-713,0,01/2000,$0.00,12,0,26,n/a,"$17,717.00",0,67.40%,n/a,3,N/a
"October 13, 2009",447617,"$12,000",16.00%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$4,500 / month",11.20%,10+ years ,"George's Mills, NH",__,__,__,N/a,__,679-713,0,12/1998,$0.00,11,0,14,79,"$5,418.00",0,33.90%,n/a,3,N/a
"October 13, 2009",447662,"$25,000",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$18,065 / month",3.53%, 2 years 1 month,"Burbank, CA",__,__,__,N/a,__,714-749,0,05/2004,$0.00,10,0,11,n/a,"$13,424.00",0,28.40%,n/a,2,N/a
"October 13, 2009",447666,"$13,500",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,459 / month",15.88%, 10+ years 6 months,"San Francisco, CA",__,__,__,N/a,__,679-713,0,04/1986,$0.00,10,0,21,43,"$14,255.00",0,57.70%,n/a,0,N/a
"October 13, 2009",447709,"$25,000",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,158 / month",12.46%, 10+ years 8 months,"PHILADELPHIA, PA",__,__,__,N/a,__,750-779,0,12/1998,$0.00,5,0,14,n/a,$0.00,0,0.00%,n/a,2,N/a
"October 13, 2009",447737,"$25,000",16.35%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,667 / month",9.81%, 10+ years 4 months,"ATLANTA, GA",__,__,__,N/a,__,714-749,0,11/1997,$0.00,9,0,16,36,"$24,425.00",0,72.60%,n/a,0,N/a
"October 13, 2009",447781,"$9,600",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,667 / month",15.36%,10+ years ,"Orange, CA",__,__,__,N/a,__,679-713,0,02/1999,$0.00,10,0,29,44,"$7,283.00",0,54.60%,n/a,1,N/a
"October 13, 2009",447788,"$12,000",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,833 / month",22.47%, 7 years 4 months,"Jonesboro, AR",__,__,__,N/a,__,679-713,0,07/1998,$0.00,12,0,28,64,"$13,260.00",0,66.60%,n/a,2,N/a
"October 13, 2009",447795,"$9,250",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,240 / month",18.97%,n/a,"Tampa, FL",__,__,__,N/a,__,679-713,0,01/2000,$0.00,15,0,26,n/a,"$13,803.00",0,73.30%,n/a,1,N/a
"October 13, 2009",447798,"$10,000",16.70%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$3,333 / month",12.36%,2 years ,"ATLANTA, GA",__,__,__,N/a,__,679-713,0,05/1972,$0.00,4,1,13,20,"$16,403.00",0,98.80%,n/a,0,N/a
"October 13, 2009",447820,"$25,000",14.96%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$12,750 / month",16.55%, 10+ years 5 months,"magnolia, TX",__,__,__,N/a,__,679-713,0,03/1990,$0.00,15,1,33,14,"$23,798.00",0,48.70%,n/a,3,N/a
"October 13, 2009",447851,"$12,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$7,500 / month",13.99%,10+ years ,"Swartz Creek, MI",__,__,__,N/a,__,679-713,0,12/1987,$0.00,7,1,22,20,"$21,648.00",0,86.90%,n/a,0,N/a
"October 13, 2009",447856,"$25,000",11.83%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$7,942 / month",2.35%, 4 years 2 months,"chicago, IL",__,__,__,N/a,__,714-749,0,01/1997,$0.00,8,0,8,n/a,"$7,415.00",0,11.20%,n/a,3,N/a
"October 13, 2009",447858,"$20,000",11.14%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,500 / month",17.20%, 4 years 3 months,"Glendale, CA",__,__,__,N/a,__,750-779,0,07/2001,$0.00,12,0,24,n/a,"$1,401.00",0,9.20%,n/a,1,N/a
"October 13, 2009",447920,"$20,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$58,333 / month",3.09%,4 years ,"Fort Lauderdale, FL",__,__,__,N/a,__,679-713,0,02/1999,$0.00,8,0,14,33,"$6,960.00",0,44.60%,n/a,0,N/a
"October 13, 2009",447950,"$18,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,417 / month",16.04%, 8 years 1 month,"Ewa Beach, HI",__,__,__,N/a,__,679-713,0,09/2000,$0.00,7,0,23,32,"$6,868.00",0,71.50%,n/a,0,N/a
"October 13, 2009",448043,"$15,000",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,711 / month",20.78%,n/a,"Poughkeepsie, NY",__,__,__,N/a,__,679-713,0,05/2000,$0.00,11,0,26,45,"$14,145.00",0,43.50%,n/a,0,N/a
"October 13, 2009",448055,"$20,000",11.48%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$15,000 / month",0.39%, 10+ years 3 months,"Somerville, NJ",__,__,__,N/a,__,780+,0,05/1993,$0.00,6,0,9,n/a,"$4,085.00",0,4.70%,n/a,0,N/a
"October 13, 2009",448058,"$25,000",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$5,833 / month",20.45%, 10+ years 5 months,"Benton, AR",__,__,__,N/a,__,679-713,0,09/1992,$0.00,11,0,33,28,"$24,105.00",0,84.60%,n/a,0,N/a
"October 13, 2009",448111,"$19,000",16.35%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$9,410 / month",21.50%, 10+ years 4 months,"Kirkland, WA",__,__,__,N/a,__,660-678,0,01/1981,$0.00,20,0,49,41,"$83,317.00",0,72.20%,n/a,0,N/a
"October 13, 2009",448139,"$10,000",13.22%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,917 / month",8.09%,4 years ,"SAN FRANCISCO, CA",__,__,__,N/a,__,679-713,0,09/2004,$0.00,7,0,7,n/a,"$8,907.00",0,61.90%,n/a,0,N/a
"October 13, 2009",448146,"$15,000",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",n/a,"$5,083 / month",7.51%,3 years ,"smyrna, GA",__,__,__,N/a,__,714-749,0,01/1984,$0.00,8,0,24,26,"$15,387.00",0,46.90%,n/a,1,N/a
"October 13, 2009",448165,"$15,000",19.47%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,850 / month",4.60%,4 years ,"Bear, DE",__,__,__,N/a,__,750-779,0,11/1995,$0.00,12,0,31,n/a,"$8,808.00",0,21.20%,n/a,9,N/a
"October 13, 2009",448183,"$10,000",7.74%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,248 / month",7.38%,10+ years ,"clermont, FL",__,__,__,N/a,__,780+,0,09/1983,$0.00,6,0,22,n/a,$811.00,0,6.00%,n/a,0,N/a
"October 13, 2009",448195,"$10,000",14.26%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$12,933 / month",17.10%,  0 year 3 months,"SAN JOSE, CA",__,__,__,N/a,__,679-713,0,09/1994,$0.00,11,0,28,n/a,"$57,209.00",0,91.20%,n/a,3,N/a
"October 13, 2009",448230,"$20,000",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,500 / month",9.66%, 3 years 9 months,"San Diego, CA",__,__,__,N/a,__,714-749,0,04/2004,$0.00,7,0,14,n/a,"$15,129.00",0,42.40%,n/a,3,N/a
"October 13, 2009",448232,"$10,000",21.21%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$5,417 / month",8.75%,8 years ,"Waco, TX",__,__,__,N/a,__,660-678,0,02/2001,$0.00,15,4,34,8,"$1,460.00",0,27.50%,n/a,2,N/a
"October 13, 2009",448258,"$6,400",8.94%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$2,427 / month",18.13%,  0 year 7 months,"COLLEGE STATION, TX",__,__,__,N/a,__,714-749,0,01/2003,$0.00,9,0,15,n/a,"$8,713.00",0,41.30%,n/a,1,N/a
"October 13, 2009",448265,"$4,000",14.61%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,583 / month",3.16%, 1 year 5 months,"NEW YORK, NY",__,__,__,N/a,__,660-678,0,06/1989,$0.00,5,0,9,24,"$3,864.00",0,52.90%,n/a,2,N/a
"October 13, 2009",448280,"$12,000",16.00%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$6,000 / month",17.48%, 2 years 3 months,"Tulsa, OK",__,__,__,N/a,__,714-749,0,11/1997,$0.00,13,0,23,n/a,"$1,249.00",0,6.10%,n/a,6,N/a
"October 13, 2009",448281,"$25,000",12.18%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,542 / month",16.36%, 2 years 4 months,"Burbank, CA",__,__,__,N/a,__,714-749,0,12/1996,$0.00,13,0,23,n/a,"$7,767.00",0,16.60%,n/a,1,N/a
"October 13, 2009",448303,"$24,000",12.53%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$4,588 / month",21.55%, 10+ years 2 months,"NATRONA HEIGHTS, PA",__,__,__,N/a,__,714-749,0,07/1992,$0.00,15,0,32,n/a,"$21,216.00",0,64.10%,n/a,0,N/a
"October 13, 2009",448323,"$7,000",17.04%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,029 / month",23.39%,  0 year 2 months,"EL PASO, TX",__,__,__,N/a,__,660-678,0,10/1998,$0.00,7,2,34,10,"$4,908.00",0,34.60%,n/a,0,N/a
"October 13, 2009",448326,"$1,325",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$2,167 / month",19.29%, 2 years 1 month,"Johnson City, VA",__,__,__,N/a,__,679-713,0,01/2002,$0.00,6,0,12,n/a,"$20,493.00",0,95.30%,n/a,0,N/a
"October 13, 2009",448327,"$24,250",14.61%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$9,333 / month",17.19%,10+ years ,"LOS ANGELES, CA",__,__,__,N/a,__,679-713,0,07/1990,$0.00,12,0,26,n/a,"$53,723.00",0,82.20%,n/a,2,N/a
"October 13, 2009",448348,"$16,000",12.87%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,000 / month",10.42%, 4 years 6 months,"Chesterfield, MO",__,__,__,N/a,__,714-749,0,07/2000,$0.00,9,0,22,n/a,"$15,949.00",0,92.70%,n/a,1,N/a
"October 13, 2009",448376,"$4,200",14.61%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$6,333 / month",15.28%, 1 year 4 months,"Burbank, CA",__,__,__,N/a,__,660-678,0,02/1999,$0.00,11,0,19,n/a,"$15,578.00",0,91.10%,n/a,0,N/a
"October 13, 2009",448400,"$20,000",13.92%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$7,083 / month",15.02%, 10+ years 1 month,"PETALUMA, CA",__,__,__,N/a,__,679-713,0,01/1994,$0.00,10,0,37,25,"$27,564.00",0,93.80%,n/a,0,N/a
"October 13, 2009",448433,"$12,800",13.57%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$5,833 / month",16.30%, 2 months,"Lexington, KY",__,__,__,N/a,__,679-713,0,05/1994,$0.00,7,0,27,n/a,"$17,304.00",0,90.10%,n/a,2,N/a
"October 13, 2009",448439,"$1,750",15.31%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$1,250 / month",22.72%, 2 years 6 months,"frankfort, NY",__,__,__,N/a,__,679-713,0,10/2004,$0.00,8,0,12,n/a,"$4,197.00",0,56.00%,n/a,0,N/a
"October 13, 2009",448453,"$10,000",11.14%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",RENT,"$3,000 / month",4.77%, 2 years 5 months,"FREMONT, CA",__,__,__,N/a,__,714-749,0,02/2005,$0.00,6,0,11,n/a,$172.00,0,0.90%,n/a,0,N/a
"October 13, 2009",448526,"$5,000",8.59%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",OWN,"$3,333 / month",7.62%, 3 years 24 months,"HARROD, OH",__,__,__,N/a,__,780+,0,02/1991,$0.00,5,0,22,n/a,$0.00,0,0.00%,n/a,1,N/a
"October 13, 2009",448575,"$9,250",16.00%,1.00%,"Three years, four business days following
issuance","One year after initial
maturity",MORTGAGE,"$8,000 / month",16.76%, 7 years 3 months,"Lawrenceville, GA",__,__,__,N/a,__,679-713,0,03/2001,$0.00,11,0,25,n/a,"$77,936.00",0,88.00%,n/a,1,N/a
