Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
16592425,"$19,200","$19,200",11.99%,1.00%,"January 20, 2015","January 29, 2020","January 29, 2020",$0,OWN,"$5,247 / month",19.06%,n/a,890xx,N/a,N/a,N/a,n/a,N/a,705-709,0,04/1991,$0.00,19,0,23,n/a,"$32,270.00",0,55.70%,n/a,1
17694018,"$30,000","$30,000",8.67%,1.00%,"January 16, 2015","January 24, 2018","January 24, 2020",$0,MORTGAGE,"$10,833 / month",9.71%,9 years ,972xx,N/a,N/a,N/a,Director,N/a,680-684,0,05/2001,$0.00,8,0,25,30,"$32,571.00",0,89.70%,n/a,0
21310990,"$15,000","$15,000",11.99%,1.00%,"January 15, 2015","January 25, 2018","January 25, 2020",$0,RENT,"$7,500 / month",16.84%,< 1 year ,752xx,N/a,N/a,N/a,Researcher,N/a,695-699,0,06/1992,$0.00,13,0,25,34,"$42,995.00",0,70.00%,n/a,1
29654256,"$35,000","$35,000",8.19%,1.00%,"January 16, 2015","January 12, 2018","January 12, 2020",$0,MORTGAGE,"$10,000 / month",6.91%,10+ years ,100xx,N/a,N/a,N/a,chef,N/a,695-699,0,05/1988,$0.00,21,2,49,3,"$42,985.00",0,16.70%,n/a,0
35998689,"$32,000","$32,000",19.24%,1.00%,"January 15, 2015","January 25, 2020","January 25, 2020",$0,RENT,"$7,917 / month",30.03%,4 years ,829xx,N/a,N/a,N/a,operator,N/a,660-664,0,01/2004,$0.00,25,0,43,63,"$34,814.00",1,62.30%,111,0
36801922,"$21,000","$21,000",7.49%,1.00%,"January 15, 2015","January 6, 2018","January 6, 2020",$0,RENT,"$5,000 / month",13.78%,10+ years ,073xx,N/a,N/a,N/a,Caseworker,N/a,705-709,0,07/1999,$0.00,7,0,22,n/a,"$9,600.00",1,47.30%,71,0
36802217,"$33,300","$33,300",15.99%,1.00%,"January 15, 2015","December 29, 2019","December 29, 2019",$0,MORTGAGE,"$11,667 / month",29.94%,n/a,900xx,N/a,N/a,N/a,n/a,N/a,715-719,0,07/1984,$0.00,8,0,20,n/a,"$206,151.00",0,94.20%,n/a,0
36803034,"$20,000","$20,000",13.66%,1.00%,"January 14, 2015","January 2, 2020","January 2, 2020",$0,MORTGAGE,"$4,000 / month",3.49%,n/a,197xx,N/a,N/a,N/a,n/a,N/a,680-684,0,03/2006,$0.00,8,0,15,n/a,"$5,865.00",1,48.50%,33,0
36804011,"$25,000","$25,000",7.49%,1.00%,"January 20, 2015","January 15, 2018","January 15, 2020",$0,RENT,"$4,167 / month",30.68%,10+ years ,125xx,N/a,N/a,N/a,CEO,N/a,790-794,0,02/1995,$0.00,11,1,24,17,"$9,857.00",0,14.20%,n/a,0
37267174,"$24,125","$24,125",24.50%,1.00%,"January 20, 2015","January 7, 2018","January 7, 2020",$0,RENT,"$7,083 / month",22.31%,10+ years ,857xx,N/a,N/a,N/a,Owner,N/a,665-669,1,01/2002,$0.00,23,2,30,2,"$10,779.00",0,49.90%,n/a,1
37307416,"$9,600","$9,600",12.39%,1.00%,"January 20, 2015","January 19, 2018","January 19, 2020",$0,OWN,"$2,667 / month",15.53%,10+ years ,669xx,N/a,N/a,N/a,Residential trainer,N/a,660-664,0,11/2009,$0.00,6,0,8,n/a,"$6,061.00",1,68.90%,63,0
37600646,"$8,000","$8,000",8.67%,1.00%,"January 20, 2015","January 28, 2018","January 28, 2020",$0,MORTGAGE,"$2,950 / month",31.58%,2 years ,608xx,N/a,N/a,N/a,Head Start enrollment Coordinator,N/a,675-679,0,01/2003,$0.00,23,1,49,14,"$30,147.00",0,47.80%,n/a,1
37610532,"$30,000","$30,000",14.99%,1.00%,"January 14, 2015","January 21, 2020","January 21, 2020",$0,MORTGAGE,"$7,333 / month",35.99%,10+ years ,487xx,N/a,N/a,N/a,Product Engineer,N/a,690-694,0,09/1987,$0.00,24,0,41,n/a,"$74,852.00",0,78.50%,n/a,0
37621736,"$20,000","$20,000",10.49%,1.00%,"January 20, 2015","December 31, 2017","December 31, 2019",$0,RENT,"$8,333 / month",12.01%,2 years ,379xx,N/a,N/a,N/a,Owner,N/a,740-744,0,07/1990,$0.00,16,0,30,63,"$8,715.00",2,11.30%,96,1
37631886,"$8,000","$8,000",12.99%,1.00%,"January 14, 2015","January 26, 2018","January 26, 2020",$0,RENT,"$2,000 / month",7.25%,< 1 year ,920xx,N/a,N/a,N/a,Load crew,N/a,720-724,0,07/2007,$0.00,3,0,4,n/a,"$5,285.00",0,49.90%,n/a,0
37640736,"$35,000","$35,000",14.31%,1.00%,"January 16, 2015","January 22, 2020","January 22, 2020",$0,MORTGAGE,"$15,417 / month",12.97%,2 years ,070xx,N/a,N/a,N/a,Finance director,N/a,710-714,0,07/2000,$0.00,23,0,58,65,"$34,731.00",0,31.00%,n/a,3
37642162,"$1,375","$1,375",15.59%,1.00%,"January 15, 2015","December 30, 2017","December 30, 2019",$0,RENT,"$2,917 / month",10.84%,2 years ,989xx,N/a,N/a,N/a,Tech ,N/a,670-674,0,07/2008,$0.00,8,2,16,13,"$1,787.00",0,31.40%,n/a,0
37652019,"$22,000","$22,000",11.44%,1.00%,"January 15, 2015","December 31, 2017","December 31, 2019",$0,RENT,"$4,583 / month",12.31%,7 years ,913xx,N/a,N/a,N/a,CNA/ HHA,N/a,675-679,0,10/2006,$0.00,7,0,11,n/a,"$20,009.00",0,71.70%,n/a,0
37661860,"$35,000","$35,000",19.99%,1.00%,"January 15, 2015","January 2, 2020","January 2, 2020",$0,MORTGAGE,"$6,250 / month",30.05%,n/a,499xx,N/a,N/a,N/a,n/a,N/a,720-724,0,04/1983,$0.00,11,0,23,n/a,"$40,839.00",0,85.60%,n/a,0
37670560,"$10,000","$10,000",11.99%,1.00%,"January 15, 2015","January 19, 2018","January 19, 2020",$0,RENT,"$5,417 / month",10.29%,1 year ,107xx,N/a,N/a,N/a,Travel Coordinator,N/a,660-664,0,07/1996,$0.00,14,2,28,11,"$6,448.00",0,50.40%,n/a,0
37671885,"$12,000","$12,000",8.67%,1.00%,"January 14, 2015","January 6, 2018","January 6, 2020",$0,RENT,"$9,167 / month",6.83%,2 years ,114xx,N/a,N/a,N/a,Associate Director,N/a,675-679,0,09/2004,$0.00,14,3,28,6,"$7,472.00",0,34.20%,n/a,0
37701316,"$22,000","$22,000",11.44%,1.00%,"January 15, 2015","January 15, 2020","January 15, 2020",$0,RENT,"$4,167 / month",21.50%,9 years ,606xx,N/a,N/a,N/a,technician,N/a,685-689,0,01/2002,$0.00,16,0,27,n/a,"$36,690.00",0,54.80%,n/a,1
37711990,"$12,875","$12,875",14.99%,1.00%,"January 16, 2015","January 23, 2020","January 23, 2020",$0,RENT,"$3,510 / month",15.33%,6 years ,816xx,N/a,N/a,N/a,Lead Branch Representative,N/a,660-664,0,03/2009,$0.00,6,0,12,55,"$9,188.00",0,96.70%,n/a,0
37750958,"$32,000","$32,000",7.49%,1.00%,"January 15, 2015","January 8, 2018","January 8, 2020",$0,MORTGAGE,"$7,083 / month",18.73%,5 years ,440xx,N/a,N/a,N/a,sales / owner,N/a,710-714,0,09/1994,$0.00,15,1,32,6,"$66,121.00",0,62.40%,n/a,0
37781578,"$6,000","$6,000",17.14%,1.00%,"January 15, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$3,750 / month",9.20%,10+ years ,925xx,N/a,N/a,N/a,maitenance,N/a,765-769,0,01/1996,$0.00,10,0,23,n/a,"$3,062.00",0,12.60%,n/a,4
37791663,"$14,000","$14,000",21.99%,1.00%,"January 15, 2015","January 24, 2020","January 24, 2020",$0,MORTGAGE,"$4,583 / month",34.85%,10+ years ,480xx,N/a,N/a,N/a,Pipefitter,N/a,670-674,0,04/2002,$0.00,12,1,33,8,"$25,655.00",0,68.40%,n/a,1
37792048,"$3,000","$3,000",11.99%,1.00%,"January 14, 2015","January 24, 2018","January 24, 2020",$0,MORTGAGE,"$3,167 / month",25.82%,6 years ,361xx,N/a,N/a,N/a,Firefighter,N/a,665-669,0,05/1993,$0.00,12,0,30,26,"$12,906.00",0,45.10%,n/a,0
37831168,"$6,000","$6,000",13.66%,1.00%,"January 14, 2015","January 19, 2018","January 19, 2020",$0,MORTGAGE,"$2,500 / month",21.48%,n/a,604xx,N/a,N/a,N/a,n/a,N/a,680-684,0,04/1991,$0.00,11,1,17,20,"$23,919.00",0,58.10%,n/a,0
37831508,"$18,275","$18,275",25.80%,1.00%,"January 20, 2015","January 13, 2020","January 13, 2020",$0,RENT,"$5,167 / month",30.39%,8 years ,606xx,N/a,N/a,N/a,Restaurant mgt.,N/a,695-699,0,07/1995,$0.00,14,0,30,n/a,"$16,406.00",0,57.00%,n/a,2
37832260,"$12,650","$12,650",19.99%,1.00%,"January 14, 2015","December 31, 2019","December 31, 2019",$0,OWN,"$4,000 / month",7.48%,n/a,076xx,N/a,N/a,N/a,n/a,N/a,715-719,0,09/1989,$0.00,5,3,7,21,"$22,932.00",0,76.20%,n/a,0
37840793,"$15,000","$15,000",8.67%,1.00%,"January 15, 2015","January 23, 2020","January 23, 2020",$0,MORTGAGE,"$18,333 / month",7.18%,10+ years ,027xx,N/a,N/a,N/a,Credit Risk Director,N/a,725-729,0,05/2002,$0.00,11,0,19,n/a,"$14,707.00",1,61.80%,7,0
37841435,"$5,000","$5,000",17.14%,1.00%,"January 15, 2015","December 28, 2017","December 28, 2019",$0,RENT,"$7,917 / month",19.77%,9 years ,940xx,N/a,N/a,N/a,Dialysis technician,N/a,660-664,0,02/2002,$0.00,13,3,35,8,"$29,068.00",0,79.60%,n/a,0
37877461,"$18,000","$18,000",14.99%,1.00%,"January 15, 2015","January 1, 2020","January 1, 2020",$0,RENT,"$4,583 / month",12.00%,7 years ,352xx,N/a,N/a,N/a,Web Application Developer,N/a,730-734,0,08/2006,$0.00,6,0,16,n/a,"$4,707.00",0,18.80%,n/a,2
37887576,"$25,200","$25,200",19.99%,1.00%,"January 16, 2015","January 2, 2020","January 2, 2020",$0,MORTGAGE,"$5,000 / month",17.74%,10+ years ,302xx,N/a,N/a,N/a,Electronic Technician,N/a,715-719,0,02/1994,$0.00,8,0,22,n/a,"$36,047.00",0,74.80%,n/a,1
37897160,"$3,200","$3,200",15.59%,1.00%,"January 20, 2015","January 27, 2018","January 27, 2020",$0,MORTGAGE,"$2,773 / month",14.97%,3 years ,532xx,N/a,N/a,N/a,Wire depet ,N/a,670-674,0,10/2000,$0.00,9,0,10,n/a,"$5,475.00",1,51.70%,39,1
37907595,"$20,000","$20,000",19.24%,1.00%,"January 15, 2015","January 5, 2020","January 5, 2020",$0,RENT,"$7,083 / month",21.43%,8 years ,287xx,N/a,N/a,N/a,Deliver bread,N/a,680-684,0,10/2004,$0.00,6,0,8,n/a,"$18,511.00",0,55.30%,n/a,0
37938523,"$12,000","$12,000",15.59%,1.00%,"January 15, 2015","January 5, 2018","January 5, 2020",$0,MORTGAGE,"$4,750 / month",9.89%,10+ years ,806xx,N/a,N/a,N/a,supervisor customer service,N/a,690-694,0,11/1996,$0.00,8,2,17,21,"$9,007.00",0,45.50%,n/a,0
38048635,"$6,000","$6,000",11.99%,1.00%,"January 15, 2015","January 12, 2018","January 12, 2020",$0,RENT,"$8,333 / month",12.61%,2 years ,946xx,N/a,N/a,N/a,Finance Advisor,N/a,695-699,0,08/2008,$0.00,7,0,11,n/a,"$4,410.00",0,63.00%,n/a,2
38068605,"$21,000","$21,000",12.39%,1.00%,"January 15, 2015","January 2, 2018","January 2, 2020",$0,MORTGAGE,"$7,083 / month",24.92%,10+ years ,750xx,N/a,N/a,N/a,foreman,N/a,715-719,0,01/2003,$0.00,9,0,21,73,"$65,364.00",0,93.60%,n/a,0
38098587,"$8,725","$8,725",16.49%,1.00%,"January 14, 2015","January 22, 2018","January 22, 2020",$0,MORTGAGE,"$5,833 / month",28.03%,10+ years ,919xx,N/a,N/a,N/a,Academic Coach,N/a,665-669,1,10/1998,$30.00,20,1,47,1,"$19,266.00",0,35.80%,n/a,1
38141621,"$15,000","$15,000",15.59%,1.00%,"January 15, 2015","January 5, 2018","January 5, 2020",$0,RENT,"$10,000 / month",21.81%,3 years ,606xx,N/a,N/a,N/a,Project Manager,N/a,670-674,0,10/2001,$0.00,22,0,54,48,"$42,108.00",0,74.70%,n/a,1
38151316,"$12,000","$12,000",19.99%,1.00%,"January 14, 2015","January 20, 2020","January 20, 2020",$0,MORTGAGE,"$4,917 / month",2.79%,10+ years ,019xx,N/a,N/a,N/a,Senior production associated ,N/a,680-684,0,09/1997,$0.00,7,2,13,11,"$8,631.00",0,53.30%,n/a,0
38151607,"$21,000","$21,000",15.99%,1.00%,"January 15, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$10,417 / month",20.39%,10+ years ,115xx,N/a,N/a,N/a,teacher,N/a,660-664,1,02/1987,$0.00,31,1,81,2,"$43,000.00",1,71.40%,42,2
38161658,"$3,000","$3,000",11.99%,1.00%,"January 14, 2015","January 5, 2018","January 5, 2020",$0,OWN,"$3,333 / month",17.91%,5 years ,607xx,N/a,N/a,N/a,Designer,N/a,695-699,0,02/2004,$0.00,12,0,19,n/a,"$6,193.00",0,59.00%,n/a,1
38162224,"$29,275","$29,275",11.99%,1.00%,"January 20, 2015","January 27, 2020","January 27, 2020",$0,MORTGAGE,"$9,167 / month",21.81%,10+ years ,222xx,N/a,N/a,N/a,Deputy Director,N/a,765-769,0,10/1996,$0.00,8,0,28,n/a,"$87,540.00",0,0.00%,n/a,1
38172343,"$9,250","$9,250",11.99%,1.00%,"January 15, 2015","January 26, 2018","January 26, 2020",$0,MORTGAGE,"$7,083 / month",9.61%,10+ years ,570xx,N/a,N/a,N/a,IS Supervisor,N/a,665-669,0,01/1988,$0.00,10,1,20,3,"$6,831.00",0,62.10%,n/a,0
38181222,"$28,000","$28,000",8.19%,1.00%,"January 15, 2015","January 3, 2018","January 3, 2020",$0,MORTGAGE,"$16,250 / month",3.80%,10+ years ,444xx,N/a,N/a,N/a,Manufacture's Representative,N/a,765-769,0,03/1976,$0.00,9,0,38,62,"$5,906.00",0,8.50%,n/a,0
38181467,"$35,000","$35,000",13.66%,1.00%,"January 15, 2015","January 9, 2020","January 9, 2020",$0,MORTGAGE,"$10,417 / month",2.24%,10+ years ,633xx,N/a,N/a,N/a,General Manager,N/a,690-694,0,06/1999,$0.00,4,0,24,63,"$10,015.00",0,40.70%,n/a,0
38182216,"$10,000","$10,000",17.86%,1.00%,"January 16, 2015","January 6, 2020","January 6, 2020",$0,RENT,"$2,167 / month",33.75%,5 years ,652xx,N/a,N/a,N/a,Dental Assisant,N/a,665-669,0,12/2003,$0.00,8,0,30,34,"$1,176.00",1,13.80%,76,0
38191841,"$5,000","$5,000",12.99%,1.00%,"January 14, 2015","January 5, 2018","January 5, 2020",$0,RENT,"$3,750 / month",24.40%,5 years ,770xx,N/a,N/a,N/a,security mngr./ prep cook,N/a,660-664,0,04/2003,$0.00,7,0,11,59,"$8,418.00",0,71.30%,n/a,0
38191960,"$4,000","$4,000",15.99%,1.00%,"January 13, 2015","January 17, 2018","January 17, 2020",$0,RENT,"$2,139 / month",21.19%,4 years ,112xx,N/a,N/a,N/a,Transporter,N/a,700-704,0,10/2007,$0.00,8,0,11,n/a,"$7,905.00",0,54.10%,n/a,0
38192690,"$20,400","$20,400",12.39%,1.00%,"January 15, 2015","January 27, 2018","January 27, 2020",$0,RENT,"$4,167 / month",10.39%,8 years ,334xx,N/a,N/a,N/a,Bartender,N/a,680-684,0,08/2003,$0.00,12,0,22,n/a,"$16,974.00",0,47.70%,n/a,0
38201875,"$13,600","$13,600",14.31%,1.00%,"January 14, 2015","January 6, 2018","January 6, 2020",$0,RENT,"$5,000 / month",16.36%,3 years ,115xx,N/a,N/a,N/a,Officer,N/a,700-704,0,10/2007,$0.00,8,0,20,n/a,"$6,970.00",0,85.00%,n/a,0
38212809,"$6,250","$6,250",14.99%,1.00%,"January 15, 2015","January 20, 2018","January 20, 2020",$0,OWN,"$5,833 / month",28.60%,3 years ,080xx,N/a,N/a,N/a,Sales Representative,N/a,700-704,0,10/1997,$0.00,15,0,24,n/a,"$15,058.00",0,44.40%,n/a,1
38232525,"$11,575","$11,575",15.59%,1.00%,"January 15, 2015","January 14, 2018","January 14, 2020",$0,RENT,"$2,500 / month",26.66%,2 years ,070xx,N/a,N/a,N/a,PSC,N/a,675-679,0,12/1995,$0.00,20,2,35,13,"$9,047.00",0,56.50%,n/a,0
38252333,"$10,000","$10,000",18.54%,1.00%,"January 14, 2015","January 18, 2020","January 18, 2020",$0,RENT,"$2,687 / month",25.24%,1 year ,984xx,N/a,N/a,N/a,Security Officer,N/a,700-704,0,01/2007,$0.00,9,0,10,n/a,"$9,571.00",0,61.00%,n/a,0
38252517,"$35,000","$35,000",26.06%,1.00%,"January 15, 2015","January 6, 2020","January 6, 2020",$0,MORTGAGE,"$7,750 / month",24.32%,4 years ,321xx,N/a,N/a,N/a,RN On Call,N/a,675-679,0,07/1995,$0.00,19,0,41,27,"$9,449.00",0,37.60%,n/a,5
38252522,"$35,000","$35,000",10.49%,1.00%,"January 14, 2015","January 20, 2018","January 20, 2020",$0,MORTGAGE,"$19,167 / month",20.81%,6 years ,333xx,N/a,N/a,N/a,Global Product Manager,N/a,695-699,0,10/1970,$0.00,12,1,32,15,"$112,819.00",0,97.30%,n/a,0
38261733,"$25,000","$25,000",7.49%,1.00%,"January 15, 2015","January 5, 2018","January 5, 2020",$0,MORTGAGE,"$12,500 / month",12.94%,10+ years ,774xx,N/a,N/a,N/a,DIRECTOR,N/a,765-769,0,06/2006,$0.00,41,0,52,n/a,"$23,604.00",0,8.90%,n/a,4
38272670,"$12,000","$12,000",12.39%,1.00%,"January 14, 2015","January 13, 2020","January 13, 2020",$0,MORTGAGE,"$5,417 / month",33.01%,7 years ,786xx,N/a,N/a,N/a,Client Service Manager,N/a,695-699,0,05/1986,$0.00,15,0,48,52,"$24,343.00",0,40.20%,n/a,0
38281406,"$7,200","$7,200",15.99%,1.00%,"January 15, 2015","January 4, 2018","January 4, 2020",$0,RENT,"$1,667 / month",12.73%,10+ years ,104xx,N/a,N/a,N/a,maintance,N/a,660-664,0,02/2005,$0.00,8,0,11,n/a,"$4,539.00",2,22.50%,3,1
38281918,"$20,000","$20,000",11.99%,1.00%,"January 20, 2015","January 5, 2018","January 5, 2020",$0,MORTGAGE,"$5,833 / month",22.19%,10+ years ,953xx,N/a,N/a,N/a,Supervisor,N/a,675-679,0,09/1998,$0.00,16,1,23,7,"$20,802.00",0,53.10%,n/a,0
38282012,"$5,200","$5,200",12.99%,1.00%,"January 14, 2015","January 5, 2018","January 5, 2020",$0,RENT,"$3,333 / month",18.36%,6 years ,114xx,N/a,N/a,N/a,Mechanic ,N/a,710-714,0,02/2007,$0.00,16,0,23,n/a,"$9,324.00",0,28.40%,n/a,4
38301447,"$35,000","$35,000",15.99%,1.00%,"January 20, 2015","January 4, 2018","January 4, 2020",$0,RENT,"$10,833 / month",6.25%,7 years ,200xx,N/a,N/a,N/a,"Manager, Government Relations",N/a,675-679,0,06/2006,$0.00,11,0,21,n/a,"$21,860.00",0,93.00%,n/a,1
38302135,"$16,075","$16,075",19.24%,1.00%,"January 14, 2015","January 5, 2018","January 5, 2020",$0,MORTGAGE,"$5,083 / month",22.49%,n/a,711xx,N/a,N/a,N/a,n/a,N/a,665-669,0,07/1997,$0.00,9,0,65,29,"$7,155.00",0,95.40%,n/a,2
38311796,"$24,000","$24,000",8.67%,1.00%,"January 15, 2015","January 5, 2018","January 5, 2020",$0,MORTGAGE,"$19,167 / month",8.23%,1 year ,327xx,N/a,N/a,N/a,Associate Vice President,N/a,730-734,0,07/1994,$0.00,10,1,34,23,"$121,323.00",0,63.90%,n/a,2
38312034,"$12,000","$12,000",25.57%,1.00%,"January 14, 2015","January 15, 2020","January 15, 2020",$0,MORTGAGE,"$3,750 / month",24.08%,9 years ,376xx,N/a,N/a,N/a,Legal Asst./Paralegal,N/a,670-674,0,04/1997,$0.00,17,0,50,65,"$11,185.00",0,47.00%,n/a,1
38312084,"$10,000","$10,000",14.31%,1.00%,"January 20, 2015","January 6, 2020","January 6, 2020",$0,RENT,"$2,917 / month",31.62%,10+ years ,616xx,N/a,N/a,N/a,driver,N/a,680-684,0,02/1996,$0.00,9,0,23,46,"$11,675.00",1,50.30%,45,1
38312088,"$8,000","$8,000",14.99%,1.00%,"January 15, 2015","January 26, 2018","January 26, 2020",$0,RENT,"$4,583 / month",6.15%,3 years ,917xx,N/a,N/a,N/a,Facilities Coordinator,N/a,665-669,0,07/2002,$0.00,7,0,17,31,"$10,734.00",0,74.50%,n/a,2
38321951,"$2,000","$2,000",11.44%,1.00%,"January 14, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$7,083 / month",19.86%,8 years ,334xx,N/a,N/a,N/a,Sales Manager,N/a,675-679,0,09/2002,$0.00,16,1,30,9,"$25,127.00",0,56.10%,n/a,1
38322043,"$16,000","$16,000",19.24%,1.00%,"January 20, 2015","January 28, 2020","January 28, 2020",$0,MORTGAGE,"$4,500 / month",35.98%,1 year ,212xx,N/a,N/a,N/a,Payroll,N/a,670-674,0,03/2001,$0.00,11,0,21,42,"$17,923.00",0,67.60%,n/a,0
38322225,"$16,750","$16,750",15.59%,1.00%,"January 14, 2015","January 6, 2018","January 6, 2020",$0,RENT,"$4,320 / month",27.52%,5 years ,958xx,N/a,N/a,N/a,Analyst,N/a,700-704,0,11/1992,$0.00,16,0,45,40,"$6,978.00",0,19.80%,n/a,0
38331261,"$25,000","$25,000",17.14%,1.00%,"January 14, 2015","January 26, 2020","January 26, 2020",$0,OWN,"$7,500 / month",8.95%,10+ years ,270xx,N/a,N/a,N/a,Systems Engineer,N/a,730-734,0,11/2001,$0.00,4,0,17,n/a,"$28,839.00",0,4.50%,n/a,1
38332252,"$9,600","$9,600",12.99%,1.00%,"January 20, 2015","January 20, 2018","January 20, 2020",$0,MORTGAGE,"$6,250 / month",12.85%,10+ years ,440xx,N/a,N/a,N/a,Nuclear Security Guard,N/a,685-689,0,10/2002,$0.00,11,0,29,n/a,"$44,247.00",0,54.90%,n/a,0
38332367,"$25,200","$25,200",7.49%,1.00%,"January 14, 2015","January 11, 2018","January 11, 2020",$0,MORTGAGE,"$5,333 / month",16.59%,< 1 year ,553xx,N/a,N/a,N/a,Implementation Manager,N/a,695-699,0,06/2005,$0.00,27,0,50,n/a,"$14,595.00",0,45.20%,n/a,0
38341213,"$8,400","$8,400",11.44%,1.00%,"January 15, 2015","January 18, 2018","January 18, 2020",$0,RENT,"$3,500 / month",31.49%,10+ years ,217xx,N/a,N/a,N/a,Truck Driver,N/a,695-699,0,02/1999,$0.00,11,0,24,n/a,"$24,513.00",0,72.70%,n/a,0
38341768,"$30,000","$30,000",14.31%,1.00%,"January 14, 2015","January 14, 2018","January 14, 2020",$0,MORTGAGE,"$6,250 / month",11.78%,3 years ,700xx,N/a,N/a,N/a,Marine Surveyor,N/a,660-664,0,01/2010,$0.00,6,0,15,50,"$20,233.00",0,73.30%,n/a,1
